"source_label","destination_label","source_path","destination_file","object_type","mapping_status","notes"
"thm:aor-heaviest-safe-first-gap","thm:aor-heaviest-safe-first-gap","journal/aor/manuscript/06_safe_deletion_gap_family.tex","05_algorithms.tex","theorem","INSTANTIATED","Named deletion rule only; not every order"
"thm:normalized-frontier-pruning-loss","thm:normalized-frontier-pruning-loss","journal/aor/sections/05_innovation_safe_compression.tex","06_economic_implications.tex","theorem","RESERVED_NOT_INSTANTIATED","Preserve normalization caveat"
"thm:capacity-value","thm:capacity-value","journal/aor/sections/05_innovation_safe_compression.tex","06_economic_implications.tex","theorem","RESERVED_NOT_INSTANTIATED","Outer one-time retention"
"thm:penalized-envelope","thm:penalized-envelope","journal/aor/sections/05_innovation_safe_compression.tex","06_economic_implications.tex","theorem","RESERVED_NOT_INSTANTIATED","Outer one-time retention"
"eq:operational-profile","eq:operational-profile","manuscript/sections/03_model.tex","03_model_projection.tex","equation","INSTANTIATED","Exact profile definition"
"eq:frontier-union","eq:frontier-union","manuscript/sections/03_model.tex","03_model_projection.tex","equation","INSTANTIATED","Frontier and raw union"
"eq:raw-library-closure","eq:raw-library-closure","manuscript/sections/03_model.tex","03_model_projection.tex","equation","INSTANTIATED","Declared general closure"
"eq:library-burden","eq:library-burden","manuscript/sections/03_model.tex","03_model_projection.tex","equation","INSTANTIATED","No manual weight values"
"eq:safe-compression-family","eq:safe-compression-family","manuscript/sections/03_model.tex","04_cover_complexity.tex","equation","INSTANTIATED","Source-relative feasibility"
"eq:minimum-safe-compression","eq:minimum-safe-compression","manuscript/sections/03_model.tex","04_cover_complexity.tex","equation","INSTANTIATED","Argmin correspondence"
"eq:tagged-requirement-universe","eq:tagged-requirement-universe","journal/aor/manuscript/04_tagged_cover_equivalence.tex","04_cover_complexity.tex","equation","INSTANTIATED","Disjoint frontier and module tags"
"eq:strategy-tagged-coverage","eq:strategy-tagged-coverage","journal/aor/manuscript/04_tagged_cover_equivalence.tex","04_cover_complexity.tex","equation","INSTANTIATED","Tie-aware frontier attainment"
"eq:tagged-cover-equivalence","eq:tagged-cover-equivalence","journal/aor/manuscript/04_tagged_cover_equivalence.tex","04_cover_complexity.tex","equation","INSTANTIATED","Identity closure only"
"eq:tagged-cover-objective","eq:tagged-cover-objective","journal/aor/manuscript/04_tagged_cover_equivalence.tex","04_cover_complexity.tex","equation","INSTANTIATED","Weighted binary formulation"
"eq:tagged-frontier-rows","eq:tagged-frontier-rows","journal/aor/manuscript/04_tagged_cover_equivalence.tex","04_cover_complexity.tex","equation","INSTANTIATED","All belief tags retained"
"eq:tagged-module-rows","eq:tagged-module-rows","journal/aor/manuscript/04_tagged_cover_equivalence.tex","04_cover_complexity.tex","equation","INSTANTIATED","Identity-closure module rows"
"eq:tagged-binary-domain","eq:tagged-binary-domain","journal/aor/manuscript/04_tagged_cover_equivalence.tex","04_cover_complexity.tex","equation","INSTANTIATED","Mandatory inactive semantics retained"
"eq:normalized-pruning-loss","eq:normalized-pruning-loss","journal/aor/sections/05_innovation_safe_compression.tex","06_economic_implications.tex","equation","RESERVED_NOT_INSTANTIATED","Exact rational statement"
"eq:capacity-value","eq:capacity-value","journal/aor/sections/05_innovation_safe_compression.tex","06_economic_implications.tex","equation","RESERVED_NOT_INSTANTIATED","Outer capacity problem"
"eq:penalized-value","eq:penalized-value","journal/aor/sections/05_innovation_safe_compression.tex","06_economic_implications.tex","equation","RESERVED_NOT_INSTANTIATED","Outer penalized problem"
"fig:innovation-safe-bridge","fig:innovation-safe-bridge","journal/aor/sections/05_innovation_safe_compression.tex","01_introduction.tex","figure","RESERVED_NOT_INSTANTIATED","Generated input only"
"fig:financial-safe-compression","fig:financial-safe-compression","manuscript/sections/10_financial_compression_audit.tex","08_financial_case_studies.tex","figure","RESERVED_NOT_INSTANTIATED","Public-safe aggregate input only"
"tab:financial-resource-compression","tab:financial-resource-compression","manuscript/sections/10_financial_compression_audit.tex","08_financial_case_studies.tex","table","RESERVED_NOT_INSTANTIATED","Generated input only"
"app:validation-status","app:aor-evidence-reproducibility","manuscript/appendices/f_validation_status.tex","appendices/c_evidence_and_reproducibility.tex","appendix section","RENAMED_EXPLICITLY","Old label maps to narrowed journal appendix"
