"migration_id","content_type","destination","source_path","source_locator","reuse_state","disposition","label_or_artifact","notes"
"P-01-008","paragraph","01_introduction.tex paragraph 8","journal/aor/reports/FINANCIAL_ALGORITHM_PROTOCOL.md;journal/aor/reports/FINANCIAL_ALGORITHM_RESULTS.md;experiments/financial_resource_optimization/WEIGHT_ROBUSTNESS_PROTOCOL.md;experiments/financial_resource_optimization/WEIGHT_ROBUSTNESS_RESULTS.md;journal/aor/CLAIM_BOUNDARY.md","whole reports;locked schedules;Financial and licensed-data boundaries","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","Terminal and annual units separate; held-out quantities postdecision only"
"P-01-009","paragraph","01_introduction.tex research-question lead","journal/aor/CONTRIBUTION_SPEC.md;journal/aor/MANUSCRIPT_ARCHITECTURE.md","Contribution hierarchy;Section 1","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","Introduces four research questions"
"P-01-010","paragraph","01_introduction.tex RQ1","journal/aor/CONTRIBUTION_SPEC.md;THEOREM_LEDGER.md","Contribution 1;SC-01","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","RQ1","Semantic sufficiency question"
"P-01-011","paragraph","01_introduction.tex RQ2","journal/aor/CONTRIBUTION_SPEC.md;THEOREM_LEDGER.md","Contribution 2;SC-TAG, SC-COMP, SC-GAP-FAMILY","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","RQ2","Covering, complexity, and local/global question"
"P-01-012","paragraph","01_introduction.tex RQ3","journal/aor/CONTRIBUTION_SPEC.md;journal/aor/reports/INSTANCE_SCHEMA.md;THEOREM_LEDGER.md","Contribution 3;whole schema;SC-PRE, SC-DP, SC-GREEDY, SC-DEL-SUITE","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","RQ3","Algorithm and certificate question"
"P-01-013","paragraph","01_introduction.tex RQ4","journal/aor/reports/ALGORITHMIC_RESULTS.md;journal/aor/reports/FINANCIAL_ALGORITHM_RESULTS.md;experiments/financial_resource_optimization/WEIGHT_ROBUSTNESS_RESULTS.md","audited conclusions","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","RQ4","Registered and retrospective evidence question"
"P-01-014","paragraph","01_introduction.tex contribution lead","journal/aor/CONTRIBUTION_SPEC.md","Four principal journal contributions","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","Referee-facing contribution hierarchy"
"P-01-015","paragraph","01_introduction.tex contribution 1","journal/aor/CONTRIBUTION_SPEC.md;THEOREM_LEDGER.md","Contribution 1;SC-01 and SC-02","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","contribution 1","Dynamic semantic reduction"
"P-01-016","paragraph","01_introduction.tex contribution 2","journal/aor/CONTRIBUTION_SPEC.md;THEOREM_LEDGER.md","Contribution 2;SC-TAG, SC-COMP, SC-GAP-FAMILY","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","contribution 2","Complexity and worst-case theory with named-rule boundary"
"P-01-017","paragraph","01_introduction.tex contribution 3","journal/aor/CONTRIBUTION_SPEC.md;THEOREM_LEDGER.md;journal/aor/reports/EXACTNESS_AUDIT_PROTOCOL.md","Contribution 3;algorithm rows;whole protocol","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","contribution 3","Algorithms, preprocessing, reconstruction, and evidence boundary"
"P-01-018","paragraph","01_introduction.tex contribution 4","journal/aor/CONTRIBUTION_SPEC.md;journal/aor/reports/ALGORITHMIC_RESULTS.md;journal/aor/reports/FINANCIAL_ALGORITHM_RESULTS.md;experiments/financial_resource_optimization/WEIGHT_ROBUSTNESS_RESULTS.md","Contribution 4;audited conclusions","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","contribution 4","Registered computational and retrospective financial evidence"
"P-01-019","paragraph","01_introduction.tex evidence-boundary paragraph","journal/aor/CLAIM_BOUNDARY.md;THEOREM_LEDGER.md;journal/aor/reports/EXACTNESS_AUDIT_PROTOCOL.md","Evidence classes;AoOR evidence audit;whole protocol","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","No status upgrade and no arbitrary-closure algorithm claim"
"P-01-020","paragraph","01_introduction.tex roadmap","journal/aor/MANUSCRIPT_ARCHITECTURE.md","Main-paper architecture;Online Resource architecture","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","Follows locked nine-section order"
"P-02-001","paragraph","02_literature.tex organizing paragraph","journal/aor/reports/OR_LITERATURE_AUDIT.md;manuscript/sections/02_literature_boundary.tex","Outcome;opening boundary","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:literature-boundary","Organized by preserved object; established OR precedes recent preprints"
"P-02-002","paragraph","02_literature.tex partial-information antecedents","journal/aor/reports/OR_LITERATURE_AUDIT.md;manuscript/sections/02_literature_boundary.tex","Partial-information control;Control and representation","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:literature-boundary","Belief-state and semi-Markov architecture treated as prior art"
"P-02-003","paragraph","02_literature.tex library-state distinction","journal/aor/reports/OR_LITERATURE_AUDIT.md;journal/aor/CLAIM_BOUNDARY.md;manuscript/sections/02_literature_boundary.tex","Partial-information control;Mathematical boundaries;Control and representation","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:literature-boundary","Frontier--closure pair is only the library component of state"
"P-02-004","paragraph","02_literature.tex alpha-vector and aggregation distinction","journal/aor/reports/OR_LITERATURE_AUDIT.md;manuscript/online_supplement/literature_novelty_audit.tex","Partial-information control;POMDP reduction audit","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","CassandraLittmanZhang1997;GivanDeanGreig2003","Preserved value representation and state equivalence distinguished from carriers"
"P-02-005","paragraph","02_literature.tex static control-library comparison","journal/aor/reports/OR_LITERATURE_AUDIT.md;manuscript/online_supplement/literature_novelty_audit.tex","Closest prior work;Dey et al.","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","DeyEtAl2012","Static task usefulness differs from future generative closure"
"P-02-006","paragraph","02_literature.tex reward-free policy compression comparison","journal/aor/reports/OR_LITERATURE_AUDIT.md;manuscript/online_supplement/literature_novelty_audit.tex","Closest prior work;Mutti et al.","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","MuttiDelColRestelli2022","Distributional representativeness differs from frontier--closure equality"
"P-02-007","paragraph","02_literature.tex generative action-set comparison","manuscript/sections/02_literature_boundary.tex;manuscript/online_supplement/literature_novelty_audit.tex","Generative action sets;Xu et al.","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","XuEtAl2026GenerativeActions","Expansion and regret distinguished from parent-conditioned deletion"
"P-02-008","paragraph","02_literature.tex classical weighted covering","journal/aor/reports/OR_LITERATURE_AUDIT.md","Problem-class distinctions;Covering formulation and complexity","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","Karp1972;Chvatal1979","Set cover and weighted greedy explicitly inherited"
"P-02-009","paragraph","02_literature.tex induced tagged-cover subclass","journal/aor/reports/OR_LITERATURE_AUDIT.md;journal/aor/manuscript/04_tagged_cover_equivalence.tex;THEOREM_LEDGER.md","Covering formulation;whole theorem draft;SC-TAG","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","thm:aor-tagged-cover-equivalence","Dynamic semantics precede computational subclass; arbitrary closure excluded"
"P-02-010","paragraph","02_literature.tex adjacent covering classes","journal/aor/reports/OR_LITERATURE_AUDIT.md","Problem-class distinctions","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","NemhauserWolseyFisher1978;Wolsey1982;GolovinKrause2011","Maximum coverage, submodular cover, and adaptive submodularity kept distinct"
"P-02-011","paragraph","02_literature.tex resource-allocation antecedents","journal/aor/reports/OR_LITERATURE_AUDIT.md","Partial-information and financial positioning;candidate matrix","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","Weitzman1979;BakerEtAl1976;RussellWefald1991","Contextual search, R&D budget, and metareasoning sources"
"P-02-012","paragraph","02_literature.tex retention-versus-search distinction","journal/aor/CONTRIBUTION_SPEC.md;manuscript/sections/02_literature_boundary.tex","Journal identity;Compression and resource-limited libraries","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:literature-boundary","Exact representation preservation separated from productive-state choice"
"P-02-013","paragraph","02_literature.tex internal procedural compression","manuscript/sections/02_literature_boundary.tex;manuscript/online_supplement/literature_novelty_audit.tex","Internal procedural compression;source-by-source audits","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","BowersEtAl2023;TanEtAl2026SkillZipGraph;BaiEtAl2026SkillZipMDL","Whole-entry strategy retention distinguished from within-artifact compression"
"P-02-014","paragraph","02_literature.tex maintained generative libraries","manuscript/sections/02_literature_boundary.tex;manuscript/online_supplement/literature_novelty_audit.tex","Maintained skill libraries;source-by-source audits","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","ShenEtAl2026SkillFoundry;PuSongZhao2026SkillOps;ShiYuanLiu2026PSN","Closest dependency-aware comparisons retained without a catalogue"
"P-02-015","paragraph","02_literature.tex established financial construction and governance","journal/aor/reports/OR_LITERATURE_AUDIT.md;manuscript/sections/02_literature_boundary.tex","Partial-information and financial positioning;Generated financial strategies","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","AllenKarjalainen1999;MoodySaffell2001;Cont2006;GlassermanXu2014;FederalReserveOCC2011","Governance supports burden context only"
"P-02-016","paragraph","02_literature.tex recent financial agent comparisons","manuscript/sections/02_literature_boundary.tex;manuscript/online_supplement/literature_novelty_audit.tex","Generated financial strategies;source-by-source audits","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","WangEtAl2026FactorMiner;PanEtAl2026ReCAP;SharmaShroff2026AlgoEvolve;MaoEtAl2026EvoQuant","Automated generation and empirical objectives distinguished from safe retention"
"P-02-017","paragraph","02_literature.tex claim boundary","journal/aor/reports/OR_LITERATURE_AUDIT.md;journal/aor/CONTRIBUTION_SPEC.md;journal/aor/CLAIM_BOUNDARY.md","Outcome;Four principal contributions;Governing rule","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:literature-boundary","Bounded audit conclusion; no absolute priority claim"
"P-03-001","paragraph","03_model_projection.tex opening scope","manuscript/sections/03_model.tex;journal/aor/MANUSCRIPT_ARCHITECTURE.md","opening;Section 3","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:model","Only dynamics needed for retention semantics retained"
"P-03-002","paragraph","03_model_projection.tex hidden state and belief","manuscript/sections/03_model.tex","Hidden market state and filtered belief","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","eq:operational-profile","Finite filtered belief remains in full controlled state"
"P-03-003","paragraph","03_model_projection.tex operating profiles","manuscript/sections/03_model.tex;THEOREM_LEDGER.md","Strategy operating profiles;T1 binder reconciliation","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","eq:operational-profile","Formal projection begins at exact profile table"
"P-03-004","paragraph","03_model_projection.tex modules and closure","manuscript/sections/03_model.tex","Modules and closure","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","eq:raw-library-closure","General extensive monotone idempotent closure retained"
"P-03-005","paragraph","03_model_projection.tex raw library","manuscript/sections/03_model.tex","Raw library","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","eq:frontier-union","Mandatory inactive strategy and attained maximum retained"
"P-03-006","paragraph","03_model_projection.tex generation verification admission","manuscript/sections/03_model.tex;manuscript/appendices/a_additional_formal_definitions.tex","Positive-duration generation verification and admission;Auxiliary finite-model facts","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","eq:admitted-law-main;eq:raw-library-update","Normalization algebra assigned to Online Resource 1"
"P-03-007","paragraph","03_model_projection.tex positive duration and joint law","manuscript/sections/03_model.tex","Positive-duration generation verification and admission","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","asm:aor-projection-process","Belief and admission may be correlated"
"P-03-008","paragraph","03_model_projection.tex productive state","manuscript/sections/03_model.tex","Compressed frontier--closure state","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","def:finite-library-state","K_L is the library component only"
"P-03-009","paragraph","03_model_projection.tex local update","manuscript/sections/03_model.tex","Compressed frontier--closure state","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","eq:raw-compressed-local-update","Compressed transition derived from raw update"
"P-03-010","paragraph","03_model_projection.tex process assumption","manuscript/sections/03_model.tex;THEOREM_LEDGER.md","Projection theorem setup;T1 exact assumptions","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","asm:aor-projection-process","Complete finite library-invariance assumptions stated"
"P-03-011","paragraph","03_model_projection.tex projection proof sketch","manuscript/sections/03_model.tex;manuscript/appendices/a_additional_formal_definitions.tex;THEOREM_LEDGER.md","Projection theorem;Projection proof;T1","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","thm:raw-to-compressed-projection","Full proof and normalization assigned to Online Resource 1"
"P-03-012","paragraph","03_model_projection.tex burden and exact compression","manuscript/sections/03_model.tex;journal/aor/CONTRIBUTION_SPEC.md","Resource burden and exact compression;Formal problem contract","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","eq:library-burden","One-time retention separated from dynamic payoff and cost"
"P-04-001","paragraph","04_cover_complexity.tex safe family","manuscript/sections/03_model.tex;manuscript/sections/04_dynamic_innovation_equivalence.tex","Safe compression family;Minimum-resource safe representation","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","eq:safe-compression-family;eq:minimum-safe-compression","Exact source-relative feasibility"
"P-04-002","paragraph","04_cover_complexity.tex productive preservation","manuscript/sections/04_dynamic_innovation_equivalence.tex;THEOREM_LEDGER.md","Minimum-resource theorem;OPT-FND","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","thm:minimum-safe-compression","No uniqueness or deletion conclusion"
"P-04-003","paragraph","04_cover_complexity.tex dynamic equivalence and detectability","manuscript/sections/04_dynamic_innovation_equivalence.tex;THEOREM_LEDGER.md","Dynamic innovation equivalence;T2","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","thm:raw-frontier-closure-characterization","Detectability used only for converse"
"P-04-004","paragraph","04_cover_complexity.tex identity boundary box","journal/aor/CLAIM_BOUNDARY.md;journal/aor/manuscript/04_tagged_cover_equivalence.tex","Mathematical boundaries;Why arbitrary closure is different","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","subsec:aor-tagged-cover","Prominent text-plus-border boundary"
"P-04-005","paragraph","04_cover_complexity.tex tagged universe and coverage","journal/aor/manuscript/04_tagged_cover_equivalence.tex","Tagged universe and strategy coverage","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","eq:tagged-requirement-universe;eq:strategy-tagged-coverage","Belief and module constructors disjoint"
"P-04-006","paragraph","04_cover_complexity.tex tagged theorem and proof","journal/aor/manuscript/04_tagged_cover_equivalence.tex;THEOREM_LEDGER.md","thm:aor-tagged-cover-equivalence;SC-TAG","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","thm:aor-tagged-cover-equivalence","Ties zero frontier and multiple carriers explicit"
"P-04-007","paragraph","04_cover_complexity.tex binary covering formulation","journal/aor/manuscript/04_tagged_cover_equivalence.tex","Weighted binary formulation","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","eq:tagged-cover-objective;eq:tagged-binary-domain","Exact rational burden"
"P-04-008","paragraph","04_cover_complexity.tex general closure counterexample","journal/aor/manuscript/04_tagged_cover_equivalence.tex;journal/aor/fixtures/tagged_cover_equivalence_v1.json","Why arbitrary closure is different;closure complementarity fixture","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","subsec:aor-tagged-cover","Independent closed-module rows may reject source"
"P-04-009","paragraph","04_cover_complexity.tex baseline MIP input and output","journal/aor/reports/MIP_SPECIFICATION.md","Scope;Diagnostics and log preservation","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","subsec:aor-baseline-mip","One incumbent and complete diagnostics"
"P-04-010","paragraph","04_cover_complexity.tex MIP tie and certificate","journal/aor/reports/MIP_SPECIFICATION.md","Exact preprocessing;Incumbent acceptance","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","subsec:aor-baseline-mip","No rounding and no solver-status proof"
"P-04-011","paragraph","04_cover_complexity.tex ISC-ID encoding","journal/aor/manuscript/05_identity_closure_complexity.tex;THEOREM_LEDGER.md","Decision problem;SC-COMP","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","subsec:aor-safe-compression-complexity","Binary encoding and threshold explicit"
"P-04-012","paragraph","04_cover_complexity.tex complexity theorem","journal/aor/manuscript/05_identity_closure_complexity.tex;THEOREM_LEDGER.md","thm:aor-safe-compression-complexity;SC-COMP","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","thm:aor-safe-compression-complexity","Human proof only and arbitrary-closure NP boundary"
"P-04-013","paragraph","04_cover_complexity.tex reduction proof sketch","journal/aor/manuscript/05_identity_closure_complexity.tex","Membership;Reduction;construction size;forward/reverse;threshold","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","thm:aor-safe-compression-complexity","Full audit assigned to Online Resource 1"
"P-04-014","paragraph","04_cover_complexity.tex preprocessing setup","journal/aor/reports/PREPROCESSING_THEORY.md","Status and scope;Meaning of preservation claims","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","subsec:aor-preprocessing","Pure covering and exact comparison assumptions"
"P-04-015","paragraph","04_cover_complexity.tex preprocessing proposition","journal/aor/reports/PREPROCESSING_THEORY.md;THEOREM_LEDGER.md","P1-P7;SC-PRE","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","prop:aor-preprocessing-feasibility-core","All-optima boundary explicit"
"P-04-016","paragraph","04_cover_complexity.tex preprocessing proof sketch","journal/aor/reports/PREPROCESSING_THEORY.md","P1-P7 proofs and fixed-point theorem","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","prop:aor-preprocessing-feasibility-core","Full proofs and reconstruction maps assigned online"
"P-05-001","paragraph","05_algorithms.tex common representation","journal/aor/reports/INSTANCE_SCHEMA.md","Purpose and boundaries;canonical ordering","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","sec:algorithms","Identity-closure schema v1"
"P-05-002","paragraph","05_algorithms.tex applicability box","journal/aor/CLAIM_BOUNDARY.md;journal/aor/reports/INSTANCE_SCHEMA.md","Mathematical boundaries;scope","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:algorithms","General-closure semantic deletion separated from journal implementation"
"P-05-003","paragraph","05_algorithms.tex common certificate","journal/aor/CLAIM_BOUNDARY.md;journal/aor/reports/EXACTNESS_AUDIT_PROTOCOL.md","Exact algorithm-output certificate;whole protocol","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","subsec:aor-common-certificate","Feasibility and burden do not prove heuristic optimality"
"P-05-004","paragraph","05_algorithms.tex comparison table","journal/aor/tables/algorithm_guarantees.tex;journal/aor/tables/algorithm_guarantees.csv","whole generated table;machine source","GENERATED_INPUT","KEEP IN MAIN ARTICLE","tab:aor-algorithm-guarantees","No table values transcribed manually"
"P-05-005","paragraph","05_algorithms.tex enumeration pseudocode","journal/aor/manuscript/07_exact_requirement_mask_algorithms.tex;julia/src/ExactJournalCompression.jl","Complete enumeration;tie handling","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","prop:aor-complete-enumeration","Input output tie rule and certificate explicit"
"P-05-006","paragraph","05_algorithms.tex enumeration proof and complexity","journal/aor/manuscript/07_exact_requirement_mask_algorithms.tex;THEOREM_LEDGER.md","prop:aor-complete-enumeration;SC-DP","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","prop:aor-complete-enumeration","Exact but exponential in optional strategies"
"P-05-007","paragraph","05_algorithms.tex mask DP recurrence and pseudocode","journal/aor/manuscript/07_exact_requirement_mask_algorithms.tex;julia/src/ExactJournalCompression.jl","Requirement-mask dynamic program;implementation tie handling","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","eq:aor-mask-dp-recurrence","Skip-before-take stable traversal"
"P-05-008","paragraph","05_algorithms.tex DP theorem and proof","journal/aor/manuscript/07_exact_requirement_mask_algorithms.tex;THEOREM_LEDGER.md","thm:aor-requirement-mask-dp;SC-DP","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","thm:aor-requirement-mask-dp","FPT in r and not polynomial in full input"
"P-05-009","paragraph","05_algorithms.tex weighted greedy pseudocode","journal/aor/manuscript/08_weighted_greedy_construction.tex;julia/src/GreedyJournalCompression.jl","algorithm;tie and trace implementation","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","subsec:aor-weighted-greedy","Exact ratio comparisons and reverse order"
"P-05-010","paragraph","05_algorithms.tex greedy theorem and proof transfer","journal/aor/manuscript/08_weighted_greedy_construction.tex;journal/aor/reports/OR_LITERATURE_AUDIT.md","thm:aor-weighted-greedy;verified Chvatal transfer","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","thm:aor-weighted-greedy","Classical theorem not re-proved or extended"
"P-05-011","paragraph","05_algorithms.tex greedy complexity and cardinality boundary","journal/aor/manuscript/08_weighted_greedy_construction.tex;THEOREM_LEDGER.md","Limitations;SC-GREEDY","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","thm:aor-weighted-greedy","No heterogeneous-weight guarantee for cardinality score"
"P-05-012","paragraph","05_algorithms.tex rechecked deletion pseudocode","journal/aor/manuscript/09_certified_deletion_suite.tex;julia/src/CertifiedDeletionJournalCompression.jl","common implementation;trace output","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","subsec:aor-certified-deletion-suite","All stale certificates discarded"
"P-05-013","paragraph","05_algorithms.tex deterministic and random tie rules","journal/aor/manuscript/09_certified_deletion_suite.tex;julia/src/CertifiedDeletionJournalCompression.jl","portfolio scores;tie declarations","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","subsec:aor-certified-deletion-suite","Exposure uses source incidence only"
"P-05-014","paragraph","05_algorithms.tex deletion proposition","journal/aor/manuscript/09_certified_deletion_suite.tex;THEOREM_LEDGER.md","prop:aor-certified-deletion-endpoint;SC-DEL-SUITE","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","prop:aor-certified-deletion-endpoint","Feasible and irreducible but not exact optimization"
"P-05-015","paragraph","05_algorithms.tex multistart pseudocode","journal/aor/manuscript/09_certified_deletion_suite.tex;julia/src/CertifiedDeletionJournalCompression.jl","stochastic portfolio;multistart tie declaration","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","subsec:aor-certified-deletion-suite","All seeds and endpoints retained"
"P-05-016","paragraph","05_algorithms.tex unbounded gap theorem","journal/aor/manuscript/06_safe_deletion_gap_family.tex;THEOREM_LEDGER.md","thm:aor-heaviest-safe-first-gap;SC-GAP","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","thm:aor-heaviest-safe-first-gap","Human proof only"
"P-05-017","paragraph","05_algorithms.tex unbounded gap proof","journal/aor/manuscript/06_safe_deletion_gap_family.tex","proof and deletion-order boundary","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","thm:aor-heaviest-safe-first-gap","Named rule and irreducibility only; not every order"
"P-05-018","paragraph","05_algorithms.tex guarantee summary","THEOREM_LEDGER.md;journal/aor/tables/algorithm_guarantees.tex","SC-DP;SC-GREEDY;SC-DEL-SUITE;generated table","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:algorithms","Evidence classes remain distinct"
"P-06-001","paragraph set","06_economic_implications.tex opening and value channels","manuscript/sections/06_operational_generative_value.tex;journal/aor/sections/05_innovation_safe_compression.tex","opening;operational--generative decomposition","MIGRATED_CONDENSED","KEEP IN MAIN ARTICLE","sec:economic-implications;thm:value-decomposition","Accounting identity and sign boundary preserved"
