instance_id,mechanism,scale,mechanism_parameter,algorithm,algorithm_id,status,reference_class,reference_burden,observed_burden,observed_burden_ratio,theoretical_ratio_if_applicable,evidence_class,record_path,record_sha256
V2-C-M01-S02,unbounded_heaviest_safe_first_gap,medium,k=16;epsilon=1//2,Cardinality greedy,cardinality_greedy,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S02/cardinality_greedy__mandatory_only.toml,d12f711c80fd70b0492d04392343c785d444d351be9bc1ae220e7750e8321ab5
V2-C-M01-S02,unbounded_heaviest_safe_first_gap,medium,k=16;epsilon=1//2,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S02/weighted_greedy_reverse_delete__mandatory_only.toml,27e08f6766e10f291497fb8efc83e74a40b2257efef48d907670d8a7fe797ef6
V2-C-M01-S02,unbounded_heaviest_safe_first_gap,medium,k=16;epsilon=1//2,Heaviest safe first,heaviest_safe_first,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,16//1,32//3,32//3,human proof ratio and synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S02/heaviest_safe_first__mandatory_only.toml,bf48c62e5714b4022a92de157776481997a1a61f86318db27784ba15cbc9ca5a
V2-C-M01-S02,unbounded_heaviest_safe_first_gap,medium,k=16;epsilon=1//2,Lightest safe first,lightest_safe_first,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S02/lightest_safe_first__mandatory_only.toml,7d4e5809ada085e8513edcfe0f51c3aaf9cdb16958615bf2fa50d3d01118cb8f
V2-C-M01-S02,unbounded_heaviest_safe_first_gap,medium,k=16;epsilon=1//2,Maximum immediate release,maximum_immediate_burden_release,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,16//1,32//3,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S02/maximum_immediate_burden_release__mandatory_only.toml,2ed56f2fd274df1546b1052f4663e87d4b3dc2b9d1d5af38ac7e676f68e3ce79
V2-C-M01-S02,unbounded_heaviest_safe_first_gap,medium,k=16;epsilon=1//2,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S02/minimum_unique_carrier_exposure__mandatory_only.toml,3c61bdc0848f1857e64484dc609dcfe8191502a8db5fe882d02b0b715a2321b7
V2-C-M01-S02,unbounded_heaviest_safe_first_gap,medium,k=16;epsilon=1//2,Declared source order,declared_source_order,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S02/declared_source_order__mandatory_only.toml,daa3aaef2b2241bc8c5f195a780c4386e43110387f8004cf6d3b6ae96d318fa4
V2-C-M01-S02,unbounded_heaviest_safe_first_gap,medium,k=16;epsilon=1//2,Random-order deletion,random_order_rechecked_deletion,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S02/random_order_rechecked_deletion__mandatory_only.toml,3eb1badc3c48a2a0d942e5d426014b9ec209f6a27b7212ba765a8345a36aff83
V2-C-M01-S02,unbounded_heaviest_safe_first_gap,medium,k=16;epsilon=1//2,32-start random deletion,multistart_random_rechecked_deletion_32,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S02/multistart_random_rechecked_deletion_32__mandatory_only.toml,9eb65d08cd1c89d522977afd10c98c6f3a81d23d0268e92e6fce887e1b419763
V2-C-M01-S03,unbounded_heaviest_safe_first_gap,large,k=64;epsilon=1//2,Weighted greedy,weighted_greedy,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/weighted_greedy__mandatory_only.toml,fdd7b82700d1358dbb561021fa2bd9d904a2fa8de767048c459266448e7ab937
V2-C-M01-S03,unbounded_heaviest_safe_first_gap,large,k=64;epsilon=1//2,Cardinality greedy,cardinality_greedy,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/cardinality_greedy__mandatory_only.toml,4f6958d84bf48a6644c8369c39f7b975f5193a84f450080148e87a301a11e0d3
V2-C-M01-S03,unbounded_heaviest_safe_first_gap,large,k=64;epsilon=1//2,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/weighted_greedy_reverse_delete__mandatory_only.toml,5f3e9e9c360f83da894c90d589b0402daceed7f61296b8a1d282fae70dbb52c8
V2-C-M01-S03,unbounded_heaviest_safe_first_gap,large,k=64;epsilon=1//2,Heaviest safe first,heaviest_safe_first,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,64//1,128//3,128//3,human proof ratio and synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/heaviest_safe_first__mandatory_only.toml,56e62f79479baf5aa89c0bef804539632d48877f1e33e6fdabc388bb441d0b3e
V2-C-M01-S03,unbounded_heaviest_safe_first_gap,large,k=64;epsilon=1//2,Lightest safe first,lightest_safe_first,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/lightest_safe_first__mandatory_only.toml,6e5577ce73dafc60c91ffa8cde9961be28ae8a40be9f0e6b7a1f618259d55c06
V2-C-M01-S03,unbounded_heaviest_safe_first_gap,large,k=64;epsilon=1//2,Maximum immediate release,maximum_immediate_burden_release,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,64//1,128//3,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/maximum_immediate_burden_release__mandatory_only.toml,913a99021add6e1fa3760d2a30c28e3267d2ce212dba81c9212613263a54926d
V2-C-M01-S03,unbounded_heaviest_safe_first_gap,large,k=64;epsilon=1//2,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/minimum_unique_carrier_exposure__mandatory_only.toml,0d2bc0d5f978a6f69559ec93dd1b5a15ddaf41dc9881d09fcb8d131c1f568bb1
V2-C-M01-S03,unbounded_heaviest_safe_first_gap,large,k=64;epsilon=1//2,Declared source order,declared_source_order,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/declared_source_order__mandatory_only.toml,29747cdec807df227ba976a8d46a6e075ccd43b046c7082d227be2ecb501fdfc
V2-C-M01-S03,unbounded_heaviest_safe_first_gap,large,k=64;epsilon=1//2,Random-order deletion,random_order_rechecked_deletion,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/random_order_rechecked_deletion__mandatory_only.toml,203f490071142783fcdd4ec117c15b06524b7d745187bb6260ded78b15d8cd98
V2-C-M01-S03,unbounded_heaviest_safe_first_gap,large,k=64;epsilon=1//2,32-start random deletion,multistart_random_rechecked_deletion_32,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S03/multistart_random_rechecked_deletion_32__mandatory_only.toml,d2108ec30c2ee50137943a00c7ca72264ca6e1b3875f949ccb6488275b720fb1
V2-C-M02-S01,many_tied_optima,small,q=4,Weighted greedy,weighted_greedy,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S01/weighted_greedy__mandatory_only.toml,f3b5c5c9a4cadeb09e1eb5d3cd0f6a34d1fb4e405e51b8bb65439505c1634a29
V2-C-M02-S01,many_tied_optima,small,q=4,Cardinality greedy,cardinality_greedy,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S01/cardinality_greedy__mandatory_only.toml,1bfdaf59a3971045e866af8ad78e911f9c30d005e7878adbd578df1eefb957f4
V2-C-M02-S01,many_tied_optima,small,q=4,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S01/weighted_greedy_reverse_delete__mandatory_only.toml,95f4ed57d9af26469e7f152dc03f09250034aeee31a6cbe96e1f5376e3a7ff29
V2-C-M02-S01,many_tied_optima,small,q=4,Heaviest safe first,heaviest_safe_first,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S01/heaviest_safe_first__mandatory_only.toml,b75d16b0cf75d3d54fde23203cb7433908932dfb898339b0b5e458c560d4cbbd
V2-C-M02-S01,many_tied_optima,small,q=4,Lightest safe first,lightest_safe_first,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S01/lightest_safe_first__mandatory_only.toml,542c72454d906e238b73f333d64e8f82325eae6c2cad16fa5a971af83478609d
V2-C-M02-S01,many_tied_optima,small,q=4,Maximum immediate release,maximum_immediate_burden_release,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S01/maximum_immediate_burden_release__mandatory_only.toml,02f2b67519f64aafff918d5b05e91be5a18ae49e13a8033b6484292d5bed7a0e
V2-C-M02-S01,many_tied_optima,small,q=4,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S01/minimum_unique_carrier_exposure__mandatory_only.toml,0d0a7c9e548337a3d06cf95d0d764b0f46881487822c87a67ff8d06b15b53aed
V2-C-M02-S01,many_tied_optima,small,q=4,Declared source order,declared_source_order,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S01/declared_source_order__mandatory_only.toml,aaa8ab14b138fe0dfc2ef425bc9c25585936afa987aa9ad4623c59ee13677c55
V2-C-M02-S01,many_tied_optima,small,q=4,Random-order deletion,random_order_rechecked_deletion,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S01/random_order_rechecked_deletion__mandatory_only.toml,d11e2dec1d82e11b6ebe61eff0ff86661625ace2fd46d82ec4182bda4b6a5f39
V2-C-M02-S01,many_tied_optima,small,q=4,32-start random deletion,multistart_random_rechecked_deletion_32,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S01/multistart_random_rechecked_deletion_32__mandatory_only.toml,df85ad6e058803e0020bcf14afbe4a7f8ff764317ed26eca54091ad5eac1a95d
V2-C-M02-S02,many_tied_optima,medium,q=8,Weighted greedy,weighted_greedy,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S02/weighted_greedy__mandatory_only.toml,8b8cbf48e39f5e93a4e298b0d40474465cce6df2126a415f2bd5b3ee6049c997
V2-C-M02-S02,many_tied_optima,medium,q=8,Cardinality greedy,cardinality_greedy,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S02/cardinality_greedy__mandatory_only.toml,1833f14240631774813e0c72210456c6cc0f465b8310986eb17c658e4b433285
V2-C-M02-S02,many_tied_optima,medium,q=8,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S02/weighted_greedy_reverse_delete__mandatory_only.toml,6555447003e6876194023071d6412bc08e96e2633397a68ed70dc1c1e5776402
V2-C-M02-S02,many_tied_optima,medium,q=8,Heaviest safe first,heaviest_safe_first,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S02/heaviest_safe_first__mandatory_only.toml,979b9a9fe1b9e4db6c99a995a92c5b5b3bd2cd2548befc65a81bb2e5c832e295
V2-C-M02-S02,many_tied_optima,medium,q=8,Lightest safe first,lightest_safe_first,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S02/lightest_safe_first__mandatory_only.toml,ace5997babaff38ae765c4861bb900a86ae02ad1be699e3e1db0cc8b341e3652
V2-C-M02-S02,many_tied_optima,medium,q=8,Maximum immediate release,maximum_immediate_burden_release,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S02/maximum_immediate_burden_release__mandatory_only.toml,684cebf89948243995ba04ad5a5ff44397ccce1604dc096a39ff4e29290dc426
V2-C-M02-S02,many_tied_optima,medium,q=8,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S02/minimum_unique_carrier_exposure__mandatory_only.toml,5ae59d3635c7924f71bfc6d31df5c748d98f3d5b82368115fce077db8bcae3c0
V2-C-M02-S02,many_tied_optima,medium,q=8,Declared source order,declared_source_order,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S02/declared_source_order__mandatory_only.toml,34344905a053fafc011bc5973fd33e2b69ab5a317696d248422df82ff0aa2370
V2-C-M02-S02,many_tied_optima,medium,q=8,Random-order deletion,random_order_rechecked_deletion,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S02/random_order_rechecked_deletion__mandatory_only.toml,6a5723776443bf8965aef29c2680af2870f2f7b54c865050074661f0081e7bf5
V2-C-M02-S02,many_tied_optima,medium,q=8,32-start random deletion,multistart_random_rechecked_deletion_32,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S02/multistart_random_rechecked_deletion_32__mandatory_only.toml,8e621549b4e1167bc344b94949fbabba4def8b622f403da30f048c05a7573fed
V2-C-M02-S03,many_tied_optima,large,q=16,Weighted greedy,weighted_greedy,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/weighted_greedy__mandatory_only.toml,db2fc42d407ded17424a47af2d3bef305f0a5ddaddbe80b57c01fd3345b06a3f
V2-C-M02-S03,many_tied_optima,large,q=16,Cardinality greedy,cardinality_greedy,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/cardinality_greedy__mandatory_only.toml,7fd671290a9f9a8d99592d9a4ba3366ca363c926229e3a9fdef7da4a30cc888f
V2-C-M02-S03,many_tied_optima,large,q=16,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/weighted_greedy_reverse_delete__mandatory_only.toml,745d5c7adf50628d1f815f0e9e1e2cf495f7056081c1a948369619d1cadd90b9
V2-C-M02-S03,many_tied_optima,large,q=16,Heaviest safe first,heaviest_safe_first,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/heaviest_safe_first__mandatory_only.toml,dd5f4ffa94cefc2985462080916b7c3321f3478c1c21b37e0bdcf54ae78a5efa
V2-C-M02-S03,many_tied_optima,large,q=16,Lightest safe first,lightest_safe_first,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/lightest_safe_first__mandatory_only.toml,2f9952a71b5f3206d82b1089ddabbfa812748b18ef770a647b3babd9078174d0
V2-C-M02-S03,many_tied_optima,large,q=16,Maximum immediate release,maximum_immediate_burden_release,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/maximum_immediate_burden_release__mandatory_only.toml,90e4ca828ac9a08edcef5046e3d968e1bf4b4224a4882834090ddacfdf82edd4
V2-C-M02-S03,many_tied_optima,large,q=16,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/minimum_unique_carrier_exposure__mandatory_only.toml,d5a3cfb1bc343c4792cf61ca820ff36f9fa056731ff815819d67ef12c0ef9fc5
V2-C-M02-S03,many_tied_optima,large,q=16,Declared source order,declared_source_order,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/declared_source_order__mandatory_only.toml,1c44bc47ca0aa2e2308cb708443f8c0eb793a80193b5a54f04066c59d76a9620
V2-C-M02-S03,many_tied_optima,large,q=16,Random-order deletion,random_order_rechecked_deletion,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/random_order_rechecked_deletion__mandatory_only.toml,c24ed9622488db95c28e4cd120bf037bee27fde6274fc49f03945087f21cdec2
V2-C-M02-S03,many_tied_optima,large,q=16,32-start random deletion,multistart_random_rechecked_deletion_32,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M02-S03/multistart_random_rechecked_deletion_32__mandatory_only.toml,53982b35f2a8d1359b67f6bb91fc3594b1ef8b78aa3c693397065d7bd145f741
V2-C-M03-S01,dense_duplicate_coverage,small,duplicates=8;modules=4,Weighted greedy,weighted_greedy,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M03-S01/weighted_greedy__mandatory_only.toml,a85f4f607fc9b0353b9918a52283b6f4bac49e6d941dff9e6d93856b2439c045
V2-C-M03-S01,dense_duplicate_coverage,small,duplicates=8;modules=4,Cardinality greedy,cardinality_greedy,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M03-S01/cardinality_greedy__mandatory_only.toml,6a478ec432469ea3c620309c39c7dfc524a3e35beed8d5d465140b9face8bd74
V2-C-M03-S01,dense_duplicate_coverage,small,duplicates=8;modules=4,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,SOLVED,EXACT_FINITE,1//1,1//1,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M03-S01/weighted_greedy_reverse_delete__mandatory_only.toml,2fe079b3fa5ea9da65a4e15710b63a4724189642d1cc015a348224e8d9e014fa
